,,Total signal,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0s,45%,55%,57%,59%,49%,57%,55%,45%,56%,66%,36%,48%,62%,63%,45%,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data ID,046_P4_A11_Adipose_18C36_PWD_lean_PW_0.mzXML,134_P4_C07_Adipose_18C37_PWD_lean_PW_0.mzXML,132_P4_C06_Adipose_18C40_PWD_lean_PW_0.mzXML,282_P4_F09_Adipose_18C41_PWD_lean_PW_0.mzXML,044_P4_A10_Adipose_18C42_PWD_lean_PW_0.mzXML,028_P4_A02_Adipose_NPC1_PWD_lean_PW_0.mzXML,266_P4_F01_Adipose_NPC2_PWD_lean_PW_0.mzXML,192_P4_D12_Adipose_NPC3_PWD_lean_PW_0.mzXML,370_P4_H05_Adipose_18F52_PWD_obese_PW_0.mzXML,088_P4_B08_Adipose_18F54_PWD_obese_PW_0.mzXML,228_P4_E06_Adipose_18F55_PWD_obese_PW_0.mzXML,122_P4_C01_Adipose_18F57_PWD_obese_PW_0.mzXML,322_P4_G05_Adipose_NPF1_PWD_obese_PW_0.mzXML,380_P4_H10_Adipose_NPF2_PWD_obese_PW_0.mzXML,232_P4_E08_Adipose_NPF4_PWD_obese_PW_0.mzXML,140_P4_C10_Adipose_NPF5_PWD_obese_PW_0.mzXML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Compartment,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Handling,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96wPL No.,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Address,A11,C07,C06,F09,A10,A02,F01,D12,H05,B08,E06,C01,G05,H10,E08,C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerXX(36:2)_[M-H]1-,Cer,562.5205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerXX(40:2)_[M+OAC]1-,Cer,678.6042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,1.424,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerXX(42:2)_[M+Cl]1-,Cer,682.591,0.011,0.012,0.003,0.028,0.000,0.000,0.504,0.000,0.362,0.264,0.126,0.055,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(15:0)_[M+OAC]1-,LPC,540.3307,2.145,7.042,9.324,2.848,14.764,11.723,3.133,12.337,1.092,14.912,129.249,15.537,0.612,3.458,1.740,5.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(17:0)_[M+OAC]1-,LPC,568.362,2.006,9.501,11.534,1.482,7.751,9.432,4.660,7.469,0.768,11.565,54.437,16.355,0.526,2.653,2.777,8.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(17:1)_[M+OAC]1-,LPC,566.3463,2.402,1.104,1.542,2.189,2.179,6.428,4.065,2.358,1.753,15.933,17.291,2.203,0.789,3.855,1.034,0.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:0)_[M+Cl]1-,LPC,558.3332,2.102,3.291,2.267,3.123,6.482,14.026,8.281,4.444,3.191,185.819,19.058,3.201,1.722,14.055,1.839,1.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:1)_[M+Cl]1-,LPC,556.3175,2.779,0.598,1.297,4.218,2.698,9.339,5.926,0.505,3.920,9.039,4.644,2.949,1.693,6.048,1.429,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:2)_[M+Cl]1-,LPC,554.3019,0.185,0.450,0.294,0.000,0.479,2.526,2.454,2.663,0.549,5.968,3.048,1.885,0.464,0.808,0.315,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(20:1)_[M+Cl]1-,LPC,584.3488,2.960,0.646,0.970,0.000,12.468,13.177,2.185,1.607,1.931,18.642,7.628,2.130,2.203,5.509,0.715,1.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(20:4)_[M+Cl]1-,LPC,578.3019,0.000,0.233,0.290,0.000,0.178,1.194,0.603,0.164,0.000,5.330,0.295,0.251,0.901,2.927,0.256,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(22:1)_[M+Cl]1-,LPC,612.3801,0.443,0.269,0.000,1.401,1.643,0.582,0.588,0.888,1.239,5.706,3.066,0.269,0.332,2.312,0.000,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(22:2)_[M+Cl]1-,LPC,610.3645,0.914,0.224,0.767,0.000,0.264,1.611,1.233,0.000,0.371,0.000,0.834,0.817,0.435,3.947,0.192,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(24:0)_[M+OAC]1-,LPC,666.4715,14.220,5.117,4.035,47.201,0.746,14.780,22.557,0.536,132.505,5.385,0.356,18.642,114.387,102.377,15.355,14.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC-O(19:1)_[M+Cl]1-,LPC,554.3383,3.230,1.139,1.831,2.849,5.932,9.959,3.087,1.455,1.466,11.940,26.005,3.806,1.856,4.882,0.883,2.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(13:0)_[M-H]1-,LPE,410.2313,8.462,4.305,5.260,16.370,426.889,3.836,26.226,176.662,21.112,22.106,18.964,5.029,16.549,39.870,4.102,2.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(16:0)_[M-H]1-,LPE,452.2783,3.154,2.171,10.324,1.133,5.523,8.164,2.498,1.579,1.190,7.283,10.855,7.502,1.995,2.695,6.705,9.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(18:0)_[M-H]1-,LPE,480.3096,21.164,34.462,60.734,26.545,45.647,51.847,27.444,37.011,26.770,10.363,259.848,44.253,28.999,46.394,30.173,50.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(18:1)_[M-H]1-,LPE,478.2939,2.478,7.070,16.900,7.057,2.775,5.438,8.372,20.939,3.520,8.577,7.373,10.966,8.080,1.457,13.359,12.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(20:0)_[M-H]1-,LPE,508.3409,9.238,18.592,17.899,3.304,15.140,15.859,3.042,19.561,2.729,10.452,81.565,23.069,5.292,6.610,5.901,18.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(20:1)_[M-H]1-,LPE,506.3252,1.069,0.694,0.927,1.815,3.230,2.761,2.561,21.358,0.337,1.686,28.859,1.133,0.417,1.423,0.504,1.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(22:6)_[M-H]1-,LPE,524.2783,9.300,3.215,6.694,28.209,5.710,15.288,38.604,24.413,13.808,34.088,2.097,16.288,34.402,41.251,15.194,12.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(34:0)_[M-H]1-,PA,675.496483,13.005,3.029,1.415,12.802,55.268,8.871,4.079,31.840,64.998,3.628,3.346,13.718,58.450,46.684,5.311,8.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(36:0)_[M-H]1-,PA,703.527783,25.584,8.673,6.392,39.566,10.946,21.009,19.153,7.408,111.733,1.380,0.189,29.122,96.167,83.190,9.872,14.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(36:1)_[M-H]1-,PA,701.512133,0.333,0.285,0.000,0.735,0.181,1.594,0.673,9.932,0.250,0.000,3.735,0.569,0.416,0.000,0.553,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(40:7)_[M-H]1-,PA,745.480833,0.214,0.000,0.017,0.000,0.318,0.000,0.000,0.000,0.378,0.000,2.228,0.343,0.000,0.770,0.026,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(28:2)_[M+OAC]1- ,PC,732.4821,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(31:1)_[M+OAC]1- ,PC,776.5447,4.989,0.374,0.000,0.583,1.146,3.553,0.000,4.794,0.000,0.000,0.377,0.289,0.427,0.000,6.799,10.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(32:3)_[M+OAC]1- ,PC,786.5291,7.098,26.932,19.149,1.282,0.904,3.636,2.667,8.919,2.557,7.731,2.578,2.257,2.473,0.000,3.898,2.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:1)_[M+OAC]1- ,PC,804.576,44.533,33.069,45.661,26.724,22.931,49.910,25.813,38.566,18.643,0.000,24.292,35.290,13.926,23.990,36.752,52.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:2)_[M+OAC]1- ,PC,802.5604,42.378,25.444,30.411,19.991,24.812,54.389,34.365,6.342,20.729,0.000,20.666,32.863,19.509,26.813,33.065,40.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:3)_[M+OAC]1- ,PC,800.5447,0.614,0.000,0.422,0.630,0.188,0.000,0.243,0.133,0.424,1.410,0.139,0.287,0.528,0.000,0.515,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:4)_[M+OAC]1- ,PC,798.5291,0.000,0.000,0.000,5.008,0.898,0.000,0.991,0.316,0.000,0.000,0.204,0.249,0.000,0.000,0.216,0.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:0)_[M+OAC]1-,PC,820.6073,0.000,0.000,0.000,0.000,0.000,0.402,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.208,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:1)_[M+Cl]1-,PC,794.5472,24.229,20.219,11.575,1.082,11.628,22.465,1.915,30.582,3.162,0.000,6.595,11.734,2.240,3.712,12.754,24.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:1)_[M+OAC]1- ,PC,818.5917,0.937,0.000,0.000,0.880,0.913,0.000,0.529,1.390,0.000,0.000,3.921,0.367,0.000,0.000,0.521,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:2)_[M+Cl]1-,PC,792.5316,23.311,13.991,12.499,2.307,14.184,24.575,2.368,9.291,3.540,0.000,5.203,10.355,1.570,3.007,13.208,16.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:2)_[M+OAC]1- ,PC,816.576,0.799,0.000,0.000,0.000,1.046,0.481,0.602,2.196,0.367,0.000,3.833,1.102,0.896,0.000,0.201,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:3)_[M+OAC]1- ,PC,814.5604,0.261,0.242,0.336,1.368,0.139,0.000,0.000,0.411,0.859,0.000,0.060,0.963,0.429,0.000,0.861,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:5)_[M+OAC]1- ,PC,810.5291,24.949,43.097,31.456,34.402,5.412,17.302,21.379,4.522,44.823,0.000,0.617,49.706,66.763,55.807,61.312,46.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:6)_[M+OAC]1- ,PC,808.5134,0.185,0.354,0.000,0.506,0.006,0.000,0.000,0.000,0.000,0.000,3.154,2.290,0.544,0.867,2.512,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:2)_[M+OAC]1- ,PC,830.5917,70.633,58.362,68.026,39.460,29.400,88.968,42.538,7.840,48.519,0.000,10.099,55.040,48.513,60.818,45.805,52.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:3)_[M+OAC]1- ,PC,828.576,20.406,11.747,9.932,2.405,5.326,16.673,1.018,0.729,6.551,0.000,3.238,13.286,2.171,2.762,11.247,11.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:4)_[M+OAC]1- ,PC,826.5604,15.412,10.407,6.876,3.843,8.278,11.478,3.851,5.663,4.948,0.562,6.431,12.990,2.561,1.364,8.526,7.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:5)_[M+Cl]1-,PC,800.5003,0.000,0.000,0.000,0.464,0.082,0.000,0.000,0.000,0.000,0.000,0.156,0.000,0.000,0.656,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(35:5)_[M+OAC]1- ,PC,824.5447,0.000,0.000,0.000,0.000,0.000,0.365,0.000,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:0)_[M+OAC]1-,PC,848.6386,0.487,0.738,0.000,0.000,0.000,0.486,0.000,5.331,0.000,0.000,0.054,0.000,0.000,0.000,0.269,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:2)_[M+Cl]1-,PC,820.5629,37.495,40.885,31.640,1.883,14.346,39.111,5.409,3.988,15.892,0.000,2.381,23.162,13.253,9.680,17.814,27.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
